id,rent_price,rent_price_by_area,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,district,neighborhood,avg_district_rent,median_district_rent,std_district_rent,overpriced,built_year,has_lift,has_ac,has_pool,has_parking,is_furnished
21565,762,,100.0,,4,2,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,0,,True,,,False,
21564,625,,70.0,,3,1,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,0,,True,,,False,
21563,446,,60.0,,2,1,Villaverde,San Cristóbal,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21562,446,,60.0,,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21561,666,,91.0,,3,2,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21560,539,,74.0,,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21559,1135,,110.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,,True,True,True,True,
21558,501,,83.0,,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1966.0,False,,,False,
21557,662,,25.0,,0,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,,True,,True,True,
21556,479,,65.0,,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1982.0,False,,,False,
21555,561,,58.0,48.0,3,1,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,0,1966.0,False,,,False,
21554,967,,115.0,,3,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2001.0,True,True,True,True,
21553,625,,82.0,73.0,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1960.0,False,True,,False,
21552,686,,83.0,,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1985.0,True,,,False,
21551,954,,90.0,76.0,2,1,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2002.0,True,True,True,False,
21550,864,,95.0,87.0,2,2,Villaverde,San Cristóbal,781.5945945945946,728.0,238.33220795427417,1,2011.0,True,,,False,
21549,780,,89.0,,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21548,1200,,178.0,,4,2,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,1,,True,True,True,True,
21547,613,,59.0,,2,1,Villaverde,Los Rosales,781.5945945945946,728.0,238.33220795427417,0,,False,True,,False,
21546,798,,100.0,,4,1,Villaverde,Los Ángeles,781.5945945945946,728.0,238.33220795427417,1,,True,,,False,
21545,517,,68.0,63.0,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,False,True,,False,
21544,566,,50.0,,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,False,,,False,
21543,1006,,114.0,,4,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,1,1987.0,True,True,,False,
21542,762,,81.0,,3,2,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1999.0,True,True,,True,
21541,1004,,91.0,77.0,2,2,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,1,2020.0,True,True,True,True,
21540,539,,95.0,,3,1,Villaverde,Butarque,781.5945945945946,728.0,238.33220795427417,0,1970.0,False,,,False,
21539,705,,80.0,,3,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,,False,True,,False,
21538,561,,60.0,56.0,2,1,Villaverde,San Andrés,781.5945945945946,728.0,238.33220795427417,0,1967.0,False,,,False,
